Professor : ( Z : 0.166667 )   Fish : ( X : 148.296, Z : 112.941 )
Professor : ( Z : 12.5 )   Fish : ( X : 135.355, Z : 135.355 )
Professor : ( Z : 12.6667 )   Fish : ( X : 125, Z : 143.301 )
Professor : ( Z : 12.8333 )   Fish : ( X : 112.941, Z : 148.296 )
Professor : ( Z : 13 )   Fish : ( X : 100, Z : 150 )
Professor : ( Z : 13.1667 )   Fish : ( X : 87.0591, Z : 148.296 )
Professor : ( Z : 13.3333 )   Fish : ( X : 75, Z : 143.301 )
Professor : ( Z : 13.5 )   Fish : ( X : 64.6447, Z : 135.355 )
Professor : ( Z : 13.6667 )   Fish : ( X : 56.6987, Z : 125 )
Professor : ( Z : 13.8333 )   Fish : ( X : 51.7037, Z : 112.941 )
Professor : ( Z : 14 )   Fish : ( X : 50, Z : 100 )
Professor : ( Z : 14.1667 )   Fish : ( X : 51.7037, Z : 87.0591 )
Professor : ( Z : 14.3333 )   Fish : ( X : 56.6987, Z : 75 )
Professor : ( Z : 14.5 )   Fish : ( X : 64.6446, Z : 64.6447 )
Professor : ( Z : 14.6667 )   Fish : ( X : 75, Z : 56.6988 )
Professor : ( Z : 14.8333 )   Fish : ( X : 87.059, Z : 51.7037 )
Professor : ( Z : 15 )   Fish : ( X : 100, Z : 50 )
Professor : ( Z : 15.1667 )   Fish : ( X : 112.941, Z : 51.7037 )
Professor : ( Z : 15.3333 )   Fish : ( X : 125, Z : 56.6987 )
Professor : ( Z : 15.5 )   Fish : ( X : 135.355, Z : 64.6446 )
Professor : ( Z : 15.6667 )   Fish : ( X : 143.301, Z : 74.9999 )
Professor : ( Z : 15.8333 )   Fish : ( X : 148.296, Z : 87.059 )
Professor : ( Z : 16 )   Fish : ( X : 150, Z : 100 )
Professor : ( Z : 16.1667 )   Fish : ( X : 148.296, Z : 112.941 )
Professor : ( Z : 16.3333 )   Fish : ( X : 143.301, Z : 125 )
Professor : ( Z : 16.5 )   Fish : ( X : 135.355, Z : 135.355 )
Professor : ( Z : 16.6667 )   Fish : ( X : 125, Z : 143.301 )
Professor : ( Z : 16.8333 )   Fish : ( X : 112.941, Z : 148.296 )
Professor : ( Z : 17 )   Fish : ( X : 100, Z : 150 )
Professor : ( Z : 17.1667 )   Fish : ( X : 87.0591, Z : 148.296 )
Professor : ( Z : 17.3333 )   Fish : ( X : 75, Z : 143.301 )
Professor : ( Z : 17.5 )   Fish : ( X : 64.6447, Z : 135.355 )
Professor : ( Z : 17.6667 )   Fish : ( X : 56.6987, Z : 125 )
Professor : ( Z : 17.8333 )   Fish : ( X : 51.7037, Z : 112.941 )
Professor : ( Z : 18 )   Fish : ( X : 50, Z : 100 )
Professor : ( Z : 18.1667 )   Fish : ( X : 51.7037, Z : 87.0591 )
Professor : ( Z : 18.3333 )   Fish : ( X : 56.6987, Z : 75 )
Professor : ( Z : 18.5 )   Fish : ( X : 64.6446, Z : 64.6447 )
Professor : ( Z : 18.6667 )   Fish : ( X : 75, Z : 56.6988 )
Professor : ( Z : 18.8333 )   Fish : ( X : 87.059, Z : 51.7037 )
Professor : ( Z : 19 )   Fish : ( X : 100, Z : 50 )
Professor : ( Z : 19.1667 )   Fish : ( X : 112.941, Z : 51.7037 )
Professor : ( Z : 19.3333 )   Fish : ( X : 125, Z : 56.6987 )
Professor : ( Z : 19.5 )   Fish : ( X : 135.355, Z : 64.6446 )
Professor : ( Z : 19.6667 )   Fish : ( X : 143.301, Z : 74.9999 )
Professor : ( Z : 19.8333 )   Fish : ( X : 148.296, Z : 87.059 )
Professor : ( Z : 20 )   Fish : ( X : 150, Z : 100 )
Professor : ( Z : 20.1667 )   Fish : ( X : 148.296, Z : 112.941 )
Professor : ( Z : 20.3333 )   Fish : ( X : 143.301, Z : 125 )
Professor : ( Z : 20.5 )   Fish : ( X : 135.355, Z : 135.355 )
Professor : ( Z : 20.6667 )   Fish : ( X : 125, Z : 143.301 )
Professor : ( Z : 20.8333 )   Fish : ( X : 112.941, Z : 148.296 )
Professor : ( Z : 21 )   Fish : ( X : 100, Z : 150 )
Professor : ( Z : 21.1667 )   Fish : ( X : 87.0591, Z : 148.296 )
Professor : ( Z : 21.3333 )   Fish : ( X : 75, Z : 143.301 )
Professor : ( Z : 21.5 )   Fish : ( X : 64.6447, Z : 135.355 )
Professor : ( Z : 21.6667 )   Fish : ( X : 56.6987, Z : 125 )
Professor : ( Z : 21.8333 )   Fish : ( X : 51.7037, Z : 112.941 )
Professor : ( Z : 22 )   Fish : ( X : 50, Z : 100 )
Professor : ( Z : 22.1667 )   Fish : ( X : 51.7037, Z : 87.0591 )
Professor : ( Z : 22.3333 )   Fish : ( X : 56.6987, Z : 75 )
Professor : ( Z : 22.5 )   Fish : ( X : 64.6446, Z : 64.6447 )
Professor : ( Z : 22.6667 )   Fish : ( X : 75, Z : 56.6988 )
Professor : ( Z : 22.8333 )   Fish : ( X : 87.059, Z : 51.7037 )
Professor : ( Z : 23 )   Fish : ( X : 100, Z : 50 )
Professor : ( Z : 23.1667 )   Fish : ( X : 112.941, Z : 51.7037 )
Professor : ( Z : 23.3333 )   Fish : ( X : 125, Z : 56.6987 )
Professor : ( Z : 23.5 )   Fish : ( X : 135.355, Z : 64.6446 )
Professor : ( Z : 23.6666 )   Fish : ( X : 143.301, Z : 74.9999 )
Professor : ( Z : 23.8333 )   Fish : ( X : 148.296, Z : 87.059 )
Professor : ( Z : 24 )   Fish : ( X : 150, Z : 100 )
Professor : ( Z : 24.1666 )   Fish : ( X : 148.296, Z : 112.941 )
Professor : ( Z : 24.3333 )   Fish : ( X : 143.301, Z : 125 )
Professor : ( Z : 24.5 )   Fish : ( X : 135.355, Z : 135.355 )
Professor : ( Z : 24.6666 )   Fish : ( X : 125, Z : 143.301 )
Professor : ( Z : 24.8333 )   Fish : ( X : 112.941, Z : 148.296 )
Professor : ( Z : 25 )   Fish : ( X : 100, Z : 150 )
Professor : ( Z : 25.1666 )   Fish : ( X : 87.0591, Z : 148.296 )
Professor : ( Z : 25.3333 )   Fish : ( X : 75, Z : 143.301 )
Professor : ( Z : 25.5 )   Fish : ( X : 64.6447, Z : 135.355 )
Professor : ( Z : 25.6666 )   Fish : ( X : 56.6987, Z : 125 )
Professor : ( Z : 25.8333 )   Fish : ( X : 51.7037, Z : 112.941 )
Professor : ( Z : 26 )   Fish : ( X : 50, Z : 100 )
Professor : ( Z : 26.1666 )   Fish : ( X : 51.7037, Z : 87.0591 )
Professor : ( Z : 26.3333 )   Fish : ( X : 56.6987, Z : 75 )
Professor : ( Z : 26.5 )   Fish : ( X : 64.6446, Z : 64.6447 )
Professor : ( Z : 26.6666 )   Fish : ( X : 75, Z : 56.6988 )
Professor : ( Z : 26.8333 )   Fish : ( X : 87.059, Z : 51.7037 )
Professor : ( Z : 27 )   Fish : ( X : 100, Z : 50 )
Professor : ( Z : 27.1666 )   Fish : ( X : 112.941, Z : 51.7037 )
Professor : ( Z : 27.3333 )   Fish : ( X : 125, Z : 56.6987 )
Professor : ( Z : 27.5 )   Fish : ( X : 135.355, Z : 64.6446 )
Professor : ( Z : 27.6666 )   Fish : ( X : 143.301, Z : 74.9999 )
Professor : ( Z : 27.8333 )   Fish : ( X : 148.296, Z : 87.059 )
Professor : ( Z : 28 )   Fish : ( X : 150, Z : 100 )
Professor : ( Z : 28.1666 )   Fish : ( X : 148.296, Z : 112.941 )
Professor : ( Z : 28.3333 )   Fish : ( X : 143.301, Z : 125 )
Professor : ( Z : 28.5 )   Fish : ( X : 135.355, Z : 135.355 )
Professor : ( Z : 28.6666 )   Fish : ( X : 125, Z : 143.301 )
Professor : ( Z : 28.8333 )   Fish : ( X : 112.941, Z : 148.296 )
Professor : ( Z : 29 )   Fish : ( X : 100, Z : 150 )
Professor : ( Z : 29.1666 )   Fish : ( X : 87.0591, Z : 148.296 )
Professor : ( Z : 29.3333 )   Fish : ( X : 75, Z : 143.301 )
Professor : ( Z : 29.5 )   Fish : ( X : 64.6447, Z : 135.355 )
Professor : ( Z : 29.6666 )   Fish : ( X : 56.6987, Z : 125 )
Professor : ( Z : 29.8333 )   Fish : ( X : 51.7037, Z : 112.941 )
Professor : ( Z : 30 )   Fish : ( X : 50, Z : 100 )
Professor : ( Z : 30.1666 )   Fish : ( X : 51.7037, Z : 87.0591 )
Professor : ( Z : 30.3333 )   Fish : ( X : 56.6987, Z : 75 )
Professor : ( Z : 30.5 )   Fish : ( X : 64.6446, Z : 64.6447 )
Professor : ( Z : 30.6666 )   Fish : ( X : 75, Z : 56.6988 )
Professor : ( Z : 30.8333 )   Fish : ( X : 87.059, Z : 51.7037 )
Professor : ( Z : 31 )   Fish : ( X : 100, Z : 50 )
Professor : ( Z : 31.1666 )   Fish : ( X : 112.941, Z : 51.7037 )
Professor : ( Z : 31.3333 )   Fish : ( X : 125, Z : 56.6987 )
Professor : ( Z : 31.5 )   Fish : ( X : 135.355, Z : 64.6446 )
Professor : ( Z : 31.6666 )   Fish : ( X : 143.301, Z : 74.9999 )
Professor : ( Z : 31.8333 )   Fish : ( X : 148.296, Z : 87.059 )
Professor : ( Z : 32 )   Fish : ( X : 150, Z : 100 )
Professor : ( Z : 32.1666 )   Fish : ( X : 148.296, Z : 112.941 )
Professor : ( Z : 32.3333 )   Fish : ( X : 143.301, Z : 125 )
Professor : ( Z : 32.5 )   Fish : ( X : 135.355, Z : 135.355 )
Professor : ( Z : 32.6666 )   Fish : ( X : 125, Z : 143.301 )
Professor : ( Z : 32.8333 )   Fish : ( X : 112.941, Z : 148.296 )
Professor : ( Z : 33 )   Fish : ( X : 100, Z : 150 )
Professor : ( Z : 33.1666 )   Fish : ( X : 87.0591, Z : 148.296 )
Professor : ( Z : 33.3333 )   Fish : ( X : 75, Z : 143.301 )
Professor : ( Z : 33.5 )   Fish : ( X : 64.6447, Z : 135.355 )
Professor : ( Z : 33.6666 )   Fish : ( X : 56.6987, Z : 125 )
Professor : ( Z : 33.8333 )   Fish : ( X : 51.7037, Z : 112.941 )
Professor : ( Z : 34 )   Fish : ( X : 50, Z : 100 )
Professor : ( Z : 34.1666 )   Fish : ( X : 51.7037, Z : 87.0591 )
Professor : ( Z : 34.3333 )   Fish : ( X : 56.6987, Z : 75 )
Professor : ( Z : 34.5 )   Fish : ( X : 64.6446, Z : 64.6447 )
Professor : ( Z : 34.6666 )   Fish : ( X : 75, Z : 56.6988 )
Professor : ( Z : 34.8333 )   Fish : ( X : 87.059, Z : 51.7037 )
Professor : ( Z : 35 )   Fish : ( X : 100, Z : 50 )
Professor : ( Z : 35.1666 )   Fish : ( X : 112.941, Z : 51.7037 )
Professor : ( Z : 35.3333 )   Fish : ( X : 125, Z : 56.6987 )
Professor : ( Z : 35.5 )   Fish : ( X : 135.355, Z : 64.6446 )
Professor : ( Z : 35.6666 )   Fish : ( X : 143.301, Z : 74.9999 )
Professor : ( Z : 35.8333 )   Fish : ( X : 148.296, Z : 87.059 )
Professor : ( Z : 36 )   Fish : ( X : 150, Z : 100 )
Professor : ( Z : 36.1666 )   Fish : ( X : 148.296, Z : 112.941 )
Professor : ( Z : 36.3333 )   Fish : ( X : 143.301, Z : 125 )
Professor : ( Z : 36.5 )   Fish : ( X : 135.355, Z : 135.355 )
Professor : ( Z : 36.6667 )   Fish : ( X : 125, Z : 143.301 )
Professor : ( Z : 36.8333 )   Fish : ( X : 112.941, Z : 148.296 )
Professor : ( Z : 37 )   Fish : ( X : 100, Z : 150 )
Professor : ( Z : 37.1667 )   Fish : ( X : 87.0591, Z : 148.296 )
Professor : ( Z : 37.3333 )   Fish : ( X : 75, Z : 143.301 )
Professor : ( Z : 37.5 )   Fish : ( X : 64.6447, Z : 135.355 )
Professor : ( Z : 37.6667 )   Fish : ( X : 56.6987, Z : 125 )
Professor : ( Z : 37.8333 )   Fish : ( X : 51.7037, Z : 112.941 )
Professor : ( Z : 38 )   Fish : ( X : 50, Z : 100 )
Professor : ( Z : 38.1667 )   Fish : ( X : 51.7037, Z : 87.0591 )
Professor : ( Z : 38.3333 )   Fish : ( X : 56.6987, Z : 75 )
Professor : ( Z : 38.5 )   Fish : ( X : 64.6446, Z : 64.6447 )
Professor : ( Z : 38.6667 )   Fish : ( X : 75, Z : 56.6988 )
Professor : ( Z : 38.8333 )   Fish : ( X : 87.059, Z : 51.7037 )
Professor : ( Z : 39 )   Fish : ( X : 100, Z : 50 )
Professor : ( Z : 39.1667 )   Fish : ( X : 112.941, Z : 51.7037 )
Professor : ( Z : 39.3333 )   Fish : ( X : 125, Z : 56.6987 )
Professor : ( Z : 39.5 )   Fish : ( X : 135.355, Z : 64.6446 )
Professor : ( Z : 39.6667 )   Fish : ( X : 143.301, Z : 74.9999 )
Professor : ( Z : 39.8333 )   Fish : ( X : 148.296, Z : 87.059 )
Professor : ( Z : 40 )   Fish : ( X : 150, Z : 100 )
Professor : ( Z : 40.1667 )   Fish : ( X : 148.296, Z : 112.941 )
Professor : ( Z : 40.3333 )   Fish : ( X : 143.301, Z : 125 )
Professor : ( Z : 40.5 )   Fish : ( X : 135.355, Z : 135.355 )
Professor : ( Z : 40.6667 )   Fish : ( X : 125, Z : 143.301 )
Professor : ( Z : 40.8334 )   Fish : ( X : 112.941, Z : 148.296 )
Professor : ( Z : 41 )   Fish : ( X : 100, Z : 150 )
Professor : ( Z : 41.1667 )   Fish : ( X : 87.0591, Z : 148.296 )
Professor : ( Z : 41.3334 )   Fish : ( X : 75, Z : 143.301 )
Professor : ( Z : 41.5 )   Fish : ( X : 64.6447, Z : 135.355 )
Professor : ( Z : 41.6667 )   Fish : ( X : 56.6987, Z : 125 )
Professor : ( Z : 41.8334 )   Fish : ( X : 51.7037, Z : 112.941 )
Professor : ( Z : 42 )   Fish : ( X : 50, Z : 100 )
Professor : ( Z : 42.1667 )   Fish : ( X : 51.7037, Z : 87.0591 )
Professor : ( Z : 42.3334 )   Fish : ( X : 56.6987, Z : 75 )
Professor : ( Z : 42.5 )   Fish : ( X : 64.6446, Z : 64.6447 )
Professor : ( Z : 42.6667 )   Fish : ( X : 75, Z : 56.6988 )
Professor : ( Z : 42.8334 )   Fish : ( X : 87.059, Z : 51.7037 )
Professor : ( Z : 43 )   Fish : ( X : 100, Z : 50 )
Professor : ( Z : 43.1667 )   Fish : ( X : 112.941, Z : 51.7037 )
Professor : ( Z : 43.3334 )   Fish : ( X : 125, Z : 56.6987 )
Professor : ( Z : 43.5 )   Fish : ( X : 135.355, Z : 64.6446 )
Professor : ( Z : 43.6667 )   Fish : ( X : 143.301, Z : 74.9999 )
Professor : ( Z : 43.8334 )   Fish : ( X : 148.296, Z : 87.059 )
Professor : ( Z : 44 )   Fish : ( X : 150, Z : 100 )
Professor : ( Z : 44.1667 )   Fish : ( X : 148.296, Z : 112.941 )
Professor : ( Z : 44.3334 )   Fish : ( X : 143.301, Z : 125 )
Professor : ( Z : 44.5 )   Fish : ( X : 135.355, Z : 135.355 )
Professor : ( Z : 44.6667 )   Fish : ( X : 125, Z : 143.301 )
Professor : ( Z : 44.8334 )   Fish : ( X : 112.941, Z : 148.296 )
Professor : ( Z : 45 )   Fish : ( X : 100, Z : 150 )
Professor : ( Z : 45.1667 )   Fish : ( X : 87.0591, Z : 148.296 )
Professor : ( Z : 45.3334 )   Fish : ( X : 75, Z : 143.301 )
Professor : ( Z : 45.5001 )   Fish : ( X : 64.6447, Z : 135.355 )
Professor : ( Z : 45.6667 )   Fish : ( X : 56.6987, Z : 125 )
Professor : ( Z : 45.8334 )   Fish : ( X : 51.7037, Z : 112.941 )
Professor : ( Z : 46.0001 )   Fish : ( X : 50, Z : 100 )
Professor : ( Z : 46.1667 )   Fish : ( X : 51.7037, Z : 87.0591 )
Professor : ( Z : 46.3334 )   Fish : ( X : 56.6987, Z : 75 )
Professor : ( Z : 46.5001 )   Fish : ( X : 64.6446, Z : 64.6447 )
Professor : ( Z : 46.6667 )   Fish : ( X : 75, Z : 56.6988 )
Professor : ( Z : 46.8334 )   Fish : ( X : 87.059, Z : 51.7037 )
Professor : ( Z : 47.0001 )   Fish : ( X : 100, Z : 50 )
Professor : ( Z : 47.1667 )   Fish : ( X : 112.941, Z : 51.7037 )
Professor : ( Z : 47.3334 )   Fish : ( X : 125, Z : 56.6987 )
Professor : ( Z : 47.5001 )   Fish : ( X : 135.355, Z : 64.6446 )
Professor : ( Z : 47.6667 )   Fish : ( X : 143.301, Z : 74.9999 )
Professor : ( Z : 47.8334 )   Fish : ( X : 148.296, Z : 87.059 )
Professor : ( Z : 48.0001 )   Fish : ( X : 150, Z : 100 )
Professor : ( Z : 48.1667 )   Fish : ( X : 148.296, Z : 112.941 )
Professor : ( Z : 48.3334 )   Fish : ( X : 143.301, Z : 125 )
Professor : ( Z : 48.5001 )   Fish : ( X : 135.355, Z : 135.355 )
Professor : ( Z : 48.6667 )   Fish : ( X : 125, Z : 143.301 )
Professor : ( Z : 48.8334 )   Fish : ( X : 112.941, Z : 148.296 )
Professor : ( Z : 49.0001 )   Fish : ( X : 100, Z : 150 )
Professor : ( Z : 49.1667 )   Fish : ( X : 87.0591, Z : 148.296 )
Professor : ( Z : 49.3334 )   Fish : ( X : 75, Z : 143.301 )
Professor : ( Z : 49.5001 )   Fish : ( X : 64.6447, Z : 135.355 )
Professor : ( Z : 49.6668 )   Fish : ( X : 56.6987, Z : 125 )
Professor : ( Z : 49.8334 )   Fish : ( X : 51.7037, Z : 112.941 )
Professor : ( Z : 50.0001 )   Fish : ( X : 50, Z : 100 )
Professor : ( Z : 50.1668 )   Fish : ( X : 51.7037, Z : 87.0591 )
Professor : ( Z : 50.3334 )   Fish : ( X : 56.6987, Z : 75 )
Professor : ( Z : 50.5001 )   Fish : ( X : 64.6446, Z : 64.6447 )
Professor : ( Z : 50.6668 )   Fish : ( X : 75, Z : 56.6988 )
Professor : ( Z : 50.8334 )   Fish : ( X : 87.059, Z : 51.7037 )
Professor : ( Z : 51.0001 )   Fish : ( X : 100, Z : 50 )
Professor : ( Z : 51.1668 )   Fish : ( X : 112.941, Z : 51.7037 )
Professor : ( Z : 51.3334 )   Fish : ( X : 125, Z : 56.6987 )
Professor : ( Z : 51.5001 )   Fish : ( X : 135.355, Z : 64.6446 )
Professor : ( Z : 51.6668 )   Fish : ( X : 143.301, Z : 74.9999 )
Professor : ( Z : 51.8334 )   Fish : ( X : 148.296, Z : 87.059 )
Professor : ( Z : 52.0001 )   Fish : ( X : 150, Z : 100 )
Professor : ( Z : 52.1668 )   Fish : ( X : 148.296, Z : 112.941 )
Professor : ( Z : 52.3334 )   Fish : ( X : 143.301, Z : 125 )
Professor : ( Z : 52.5001 )   Fish : ( X : 135.355, Z : 135.355 )
Professor : ( Z : 52.6668 )   Fish : ( X : 125, Z : 143.301 )
Professor : ( Z : 52.8334 )   Fish : ( X : 112.941, Z : 148.296 )
Professor : ( Z : 53.0001 )   Fish : ( X : 100, Z : 150 )
Professor : ( Z : 53.1668 )   Fish : ( X : 87.0591, Z : 148.296 )
Professor : ( Z : 53.3334 )   Fish : ( X : 75, Z : 143.301 )
Professor : ( Z : 53.5001 )   Fish : ( X : 64.6447, Z : 135.355 )
Professor : ( Z : 53.6668 )   Fish : ( X : 56.6987, Z : 125 )
Professor : ( Z : 53.8335 )   Fish : ( X : 51.7037, Z : 112.941 )
Professor : ( Z : 54.0001 )   Fish : ( X : 50, Z : 100 )
Professor : ( Z : 54.1668 )   Fish : ( X : 51.7037, Z : 87.0591 )
Professor : ( Z : 54.3335 )   Fish : ( X : 56.6987, Z : 75 )
Professor : ( Z : 54.5001 )   Fish : ( X : 64.6446, Z : 64.6447 )
Professor : ( Z : 54.6668 )   Fish : ( X : 75, Z : 56.6988 )
Professor : ( Z : 54.8335 )   Fish : ( X : 87.059, Z : 51.7037 )
Professor : ( Z : 55.0001 )   Fish : ( X : 100, Z : 50 )
Professor : ( Z : 55.1668 )   Fish : ( X : 112.941, Z : 51.7037 )
Professor : ( Z : 55.3335 )   Fish : ( X : 125, Z : 56.6987 )
Professor : ( Z : 55.5001 )   Fish : ( X : 135.355, Z : 64.6446 )
Professor : ( Z : 55.6668 )   Fish : ( X : 143.301, Z : 74.9999 )
Professor : ( Z : 55.8335 )   Fish : ( X : 148.296, Z : 87.059 )
Professor : ( Z : 56.0001 )   Fish : ( X : 150, Z : 100 )
Professor : ( Z : 56.1668 )   Fish : ( X : 148.296, Z : 112.941 )
Professor : ( Z : 56.3335 )   Fish : ( X : 143.301, Z : 125 )
Professor : ( Z : 56.5001 )   Fish : ( X : 135.355, Z : 135.355 )
Professor : ( Z : 56.6668 )   Fish : ( X : 125, Z : 143.301 )
Professor : ( Z : 56.8335 )   Fish : ( X : 112.941, Z : 148.296 )
Professor : ( Z : 57.0001 )   Fish : ( X : 100, Z : 150 )
Professor : ( Z : 57.1668 )   Fish : ( X : 87.0591, Z : 148.296 )
Professor : ( Z : 57.3335 )   Fish : ( X : 75, Z : 143.301 )
Professor : ( Z : 57.5001 )   Fish : ( X : 64.6447, Z : 135.355 )
Professor : ( Z : 57.6668 )   Fish : ( X : 56.6987, Z : 125 )
Professor : ( Z : 57.8335 )   Fish : ( X : 51.7037, Z : 112.941 )
Professor : ( Z : 58.0001 )   Fish : ( X : 50, Z : 100 )
Professor : ( Z : 58.1668 )   Fish : ( X : 51.7037, Z : 87.0591 )
Professor : ( Z : 58.3335 )   Fish : ( X : 56.6987, Z : 75 )
Professor : ( Z : 58.5002 )   Fish : ( X : 64.6446, Z : 64.6447 )
Professor : ( Z : 58.6668 )   Fish : ( X : 75, Z : 56.6988 )
Professor : ( Z : 58.8335 )   Fish : ( X : 87.059, Z : 51.7037 )
Professor : ( Z : 59.0002 )   Fish : ( X : 100, Z : 50 )
Professor : ( Z : 59.1668 )   Fish : ( X : 112.941, Z : 51.7037 )
Professor : ( Z : 59.3335 )   Fish : ( X : 125, Z : 56.6987 )
Professor : ( Z : 59.5002 )   Fish : ( X : 135.355, Z : 64.6446 )
Professor : ( Z : 59.6668 )   Fish : ( X : 143.301, Z : 74.9999 )
Professor : ( Z : 59.8335 )   Fish : ( X : 148.296, Z : 87.059 )
